"Forlag id";"Original tittel";"Internasjonal tittel";"ISBN-prefix"
"13239";"Eide Forlag";"Eide Forlag";"978-82-514"
"13245";"Blackwell Publishing";"Blackwell Publishing";"978-1-4051"
"13299";"Cammermeyer A. Forlag";"Cammermeyer A. Forlag";
"13300";"Bollati Boringhieri";"Bollati Boringhieri";
"13325";"Kommuneforlaget AS";"Kommuneforlaget AS";"978-82-446"
"13349";"Suomalais-Ugrilainen Seura";"Finno-Ugrian Society";"978-951-901"
"13361";"Nyt Nordisk Forlag Arnold Busck";"Nyt Nordisk Forlag Arnold Busck";
"13364";"Stockholm University";"Stockholm University";
"13379";"Chicago Linguistic Society";"Chicago Linguistic Society";
"13393";"I.B. Tauris";"I.B. Tauris";"978-1-780, 978-1-86064"
"13428";"Facultés Universitaires Saint-Louis";"Facultés Universitaires Saint-Louis";
"13448";"Heinemann";"Heinemann";"978-0-325, 978-0-431"
"13484";"Penguin";"Penguin";
"13487";"Verlag Rüegger Zürich";"Verlag Rüegger Zürich";
"13488";"Guilford Press";"Guilford Press";"978-1-4625, 978-1-60623, 978-1-60918"
"13501";"Kegan Paul";"Kegan Paul";
"13528";"Australian National University Press";"Australian National University Press";
"13541";"Physica Verlag";"Physica Verlag";"978-3-7908"
"13545";"Ravan Press";"Ravan Press";
"13547";"Dansk Psykologisk Forlag";"Dansk Psykologisk Forlag";
"13573";"Messel Forlag";"Messel Forlag";
"13576";"Presses Universitaires d'Aix, Marseille (PUAM)";"Presses Universitaires d'Aix, Marseille (PUAM)";
"13577";"Teachers College Press";"Teachers College Press";"978-0-8077"
"13578";"James Currey Publishers";"James Currey Publishers";"978-0-85255"
"13613";"Methuen";"Methuen";"978-0-413, 978-0-416, 978-0-417, 978-0-423, 978-0-456, 978-0-458"
"13627";"Jessica Kingsley Publishers";"Jessica Kingsley Publishers";"978-1-84905, 978-1-85302"
"13646";"The Minerals, Metals, and Materials Society (TMS)";"The Minerals, Metals, and Materials Society (TMS)";"978-0-87339"
"13653";"Suomalaisen Kirjallisuuden Seura";"Finnish Literature Society";"978-951-746"
"13654";"M.E. Sharpe Inc.";"M.E. Sharpe Inc.";
"13666";"Piper Verlag";"Piper Verlag";"978-3-492"
"13693";"Orient BlackSwan";"Orient BlackSwan";"978-81-7824"
"13713";"McGill-Queen's University Press";"McGill-Queen's University Press";
"13716";"Edizioni Quasar";"Edizioni Quasar";
"13717";"Genesis Forlag";"Genesis Forlag";"978-82-476"
"13721";"Earthscan Publications Ltd.";"Earthscan Publications Ltd.";
"13723";"Pergamon Press";"Pergamon Press";"978-0-08, 978-1-85617"
"13731";"Basic Books";"Basic Books";"978-0-465, 978-0-7382"
"13741";"Gyldendal Akademisk";"Gyldendal Akademisk";"978-82-05, 978-82-054"
"13743";"Verso";"Verso";"978-1-85984"
"13759";"Proprius Förlag";"Proprius Förlag";
"13772";"Northern Illinois University Press (NIU Press)";"Northern Illinois University Press (NIU Press)";"978-08758"
"13807";"Falmer Press";"Falmer Press";"978-0-7507, 978-0-8002"
"13809";"St. Martin's Press";"St. Martin's Press";"978-0-312"
"13825";"Verbum Forlag";"Verbum Forlag";"978-82-543"
"13833";"Praeger";"Praeger";"978-0-275"
"13865";"Hermes Academic Publishing and Bookshop A/S";"Hermes Academic Publishing and Bookshop A/S";"978-82-8034"
"13896";"State University of New York";"State University of New York";
"13907";"IUDICIUM Verlag GmbH";"IUDICIUM Verlag GmbH";
"13913";"Fondo Editorial (FE) de la Pontificia Universidad Católica del Perú (PUCP)";"Fondo Editorial (FE) de la Pontificia Universidad Católica del Perú (PUCP)";"978-612-317"
"13980";"Dafolo Forlag";"Dafolo Forlag";"978-87-7281"
"13994";"DJØF Forlag";"DJØF Forlag";"978-87-574"
"14021";"Shaker Verlag";"Shaker Verlag";"978-3-8322"
"14032";"Odense Universitetsforlag";"Odense Universitetsforlag";
"14034";"Gower Publishing Ltd.";"Gower Publishing Ltd.";
"14045";"Actes Sud";"Actes Sud";"978-2-7427"
"14081";"Harwood Academic";"Harwood Academic";
"14085";"Science History Publications Ltd.";"Science History Publications Ltd.";
"14088";"Orkana Forlag";"Orkana Forlag";"978-82-8104"
"14091";"Schibsted Forlag";"Schibsted Forlag";"978-82-516"
"14108";"Acco";"Acco";"978-90-334"
"14127";"Paul Åströms Förlag";"Paul Åströms Förlag";
"14133";"University of Alaska Press";"University of Alaska Press";"978-1-60223"
"14134";"Verlag Philipp von Zabern";"Verlag Philipp von Zabern";"978-3-8053"
"14137";"Editions du Centre Pompidou";"Editions du Centre Pompidou";"978-2-84426"
"14138";"Presses universitaires de Louvain";"Presses universitaires de Louvain";
"14147";"Lynne Rienner Publishers";"Lynne Rienner Publishers";"978-0-89410, 978-1-55587, 978-1-58826"
"14168";"Science Publishers Inc.";"Science Publishers Inc.";"978-1-57808"
"14171";"ICE Publishing";"ICE Publishing";"978-0-7277"
"14172";"Unwin Hyman Ltd.";"Unwin Hyman Ltd.";
"14185";"Westminster John Knox Press";"Westminster John Knox Press";"978-0-664"
"14188";"Reclam Verlag";"Reclam Verlag";"978-3-15"
"14199";"Hurst Publishers";"Hurst Publishers";"978-0-900966, 978-1-85065"
"14258";"Centrum för multietnisk forskning";"Centrum för multietnisk forskning";
"14280";"University of Otago";"University of Otago";"978-0-473"
"14412";"Husbanken";"Husbanken";"978-82-90122"
"14695";"KITLV Press";"KITLV Press";
"14727";"Il Mulino";"Il Mulino";"978-88-15"
"14731";"Pabst Science Publishers";"Pabst Science Publishers";
"14745";"Whiting & Birch, Ltd.";"Whiting & Birch, Ltd.";
"14766";"Landbruksforlaget";"Landbruksforlaget";"978-82-529"
"14768";"Freund Publishing House, Ltd.";"Freund Publishing House, Ltd.";
"14775";"Nature Publishing Group";"Nature Publishing Group";"978-0-333"
"14914";"Rand Corporation";"Rand Corporation";
"14953";"Geological Society of America";"Geological Society of America";
"14956";"Institute for Transportation Inc.";"Institute for Transportation Inc.";
"14961";"American Meteorological Society";"American Meteorological Society";
"14962";"Society of Biblical Literature (SBL) Press";"Society of Biblical Literature (SBL) Press";"978-1-58983"
"15001";"American Fisheries Society";"American Fisheries Society";
"15088";"Fritzes";"Fritzes";
"15103";"Wolters Kluwer";"Wolters Kluwer";"978-0-7355, 978-0-8080, 978-0-8342"
"15162";"Society of Environmental Toxicology and Chemistry (SETAC)";"Society of Environmental Toxicology and Chemistry (SETAC)";
"15167";"Jure";"Jure";
"15168";"LexisNexis Butterworths";"LexisNexis Butterworths";
"15173";"Research Centre for Contemporary Culture";"Research Centre for Contemporary Culture";
"15186";"Gyldendalske bokhandel, Nordisk forlag A/S";"Gyldendalske bokhandel, Nordisk forlag A/S";"978-87-00"
"15201";"Acta Universitatis Gothoburgensis";"Acta Universitatis Gothoburgensis";
"15208";"Mkuki na Nyota Publishers";"Mkuki na Nyota Publishers";
"15236";"Society of Petroleum Engineers";"Society of Petroleum Engineers";"978-1-55563, 978-1-61399"
"15241";"Gyldendal Uddannelse";"Gyldendal Uddannelse";
"15252";"SNS förlag";"SNS förlag";"978-91-7150"
"15254";"Institute of Geography";"Institute of Geography";
"15267";"Transnational Publishers";"Transnational Publishers";
"15275";"Greenleaf Publishing Ltd";"Greenleaf Publishing Ltd";
"15280";"European Council for an Energy Efficient Economy (ECEEE)";"European Council for an Energy Efficient Economy (ECEEE)";"978-91-631"
"15294";"European University at St. Petersburg";"European University at St. Petersburg";"978-5-94380"
"15300";"Tartu Ülikool Kirjastus";"University of Tartu Press";
"15303";"Schneider Verlag Hohengehren GmbH";"Schneider Verlag Hohengehren GmbH";"978-3-89676"
"15313";"Vikingeskibsmuseet";"Vikingeskibsmuseet";"978-87-85180"
"15321";"Det Arnamagnæanske Institut";"Det Arnamagnæanske Institut";"978-87-7001"
"15332";"International Food Policy Research Institute";"International Food Policy Research Institute";"978-0-89629"
"15381";"European Commission";"European Commission";
"15389";"Oxbow Books";"Oxbow Books";"978-1-59874, 978-1-84217"
"15392";"Labyrinth Press";"Labyrinth Press";"978-82-7393"
"15542";"Wilhelm Braumüller";"Wilhelm Braumüller";
"15655";"Forlaget Hikuin";"Forlaget Hikuin";"978-87-90814"
"15746";"Institut français d'archéologie orientale du Caire";"The French Institute of Oriental Archaeology (IFAO)";"978-2-7247"
"15966";"N.W. Damm & Sønn ASA";"N.W. Damm & Sønn ASA";"978-82-04"
"15976";"Northwestern University Press";"Northwestern University Press";"978-0-8101, 978-0-8110, 978-7-5612"
"15992";"Føroya Fródskaparfelag";"Føroya Fródskaparfelag";"978-99918-41"
"15998";"Purdue University Press";"Purdue University Press";
"16328";"Vanderbilt University Press";"Vanderbilt University Press";"978-0-8265"
"16342";"Meyer & Meyer Sport";"Meyer & Meyer Sport";"978-1-84126"
"16344";"International Organization for Science and Technology Education";"International Organization for Science and Technology Education";
"16346";"United States Institute of Peace Press";"United States Institute of Peace Press";
"16359";"COMSOL";"COMSOL";
"16380";"Luchterhand";"Luchterhand";
"16410";"Idea Group Inc.";"Idea Group Inc.";
"16441";"Karlstads universitet";"Karlstads universitet";
"16942";"Verlag Königshausen & Neumann";"Verlag Königshausen & Neumann";"978-3-8260"
"16946";"Pavilion Publishing";"Pavilion Publishing";
"16949";"Brookes Publishing Company";"Brookes Publishing Company";
"16957";"University of Florida";"University of Florida";
"16994";"BioMed Central (BMC)";"BioMed Central (BMC)";"978-0-9540"
"16995";"Wigestrand Forlag AS";"Wigestrand Forlag AS";
"17032";"Science Press";"Science Press";
"17037";"Les Indes Savantes";"Les Indes Savantes";
"17046";"Edizioni FrancoAngeli";"Edizioni FrancoAngeli";"978-88-204"
"17059";"Minard Lettres Modernes";"Minard Lettres Modernes";"978-2-256"
"17070";"Council for the Development of Social Science Research in Africa";"Council for the Development of Social Science Research in Africa";
"17073";"Symposium Books";"Symposium Books";
"17078";"Institute of Law and Public Policy, Moscow";"Institute of Law and Public Policy, Moscow";
"17102";"Unipax";"Unipax";
"17138";"Charles C. Thomas Publisher Ltd.";"Charles C. Thomas Publisher Ltd.";
"17184";"NSU Press";"NSU Press";
"17243";"BRIC - The Bergen Programme for Comparative studies on Resources, Institutions and Culture";"BRIC - The Bergen Programme for Comparative studies on Resources, Institutions and Culture";
"17298";"American Nuclear Society";"American Nuclear Society";"978-0-89448"
"17307";"Utviklingsfondet";"Utviklingsfondet";
"17308";"Forlaget Oktober";"Forlaget Oktober";"978-82-495"
"17309";"Anthem Press";"Anthem Press";"978-1-84331"
"17320";"Norsk senter for barneforskning (Noseb)";"Norsk senter for barneforskning (Noseb)";"978-82-7816"
"17431";"Edwin Mellen Press";"Edwin Mellen Press";"978-0-7734"
"17648";"Universitetet i Stavanger";"Universitetet i Stavanger";
"17689";"Kumarian Press";"Kumarian Press";
"17693";"European Geosciences Union (EGU)";"European Geosciences Union (EGU)";
"17696";"Lincom Europa";"Lincom Europa";"978-3 89586"
"17698";"European Language Resources Association";"European Language Resources Association";"978-2-9517408"
"17794";"Rossíiskaya akadémiya naúk (PAH)";"Russian Academy of Sciences (RAS)";"978-5-94560"
"18557";"Fondation Louis de Broglie";"Fondation Louis de Broglie";"978-2-910458"
"18558";"Scarecrow Press";"Scarecrow Press";"978-0-8108"
"18559";"Plural Editores";"Plural Editores";"978-989-611, 978-99905-62"
"18560";"CSLI Publications";"CSLI Publications";"978-157586"
"18561";"Academia Press";"Academia Press";"978-90382"
"18562";"Research Centre for Evacuee and War Child Studies";"Research Centre for Evacuee and War Child Studies";
"18563";"Stockholmia förlag";"Stockholmia förlag";"978-91-7031"
"18566";"Berkeley Electronic Press";"Berkeley Electronic Press";"978-0-585"
"18568";"Giunti Editore SpA";"Giunti Editore SpA";"978-88-09, 978-88-78"
"18569";"Edifir - Edizioni Firenze";"Edifir - Edizioni Firenze";"978-88-7970"
"18574";"Research Institute on Christianity in Sourth Africa";"Research Institute on Christianity in Sourth Africa";
"18575";"Old Testament Society of South Africa";"Old Testament Society of South Africa";"978-0-86979"
"18577";"Unisa Press";"Unisa Press";"978-1-86888"
"18578";"Lutheran Theological Seminary";"Lutheran Theological Seminary";
"18579";"Croatian Society for Communications, Computing, Electronics, Measurement and Control";"Croatian Society for Communications, Computing, Electronics, Measurement and Control";"978-953-6037"
"18581";"Hendrickson Publishers";"Hendrickson Publishers";"978-1-5656"
"18582";"LIT Verlag";"LIT Verlag";"978-3-643, 978-3-8258"
"18583";"Norwegian-American Historical Association";"Norwegian-American Historical Association";"978-0-87732"
"18584";"Inter-Varsity Press";"Inter-Varsity Press";"978-0-85111, 978-1-84474, 978-1-85684"
"18614";"Dom stampe DD";"Dom stampe DD";"978-9958"
"18615";"Publications du CRAHM";"Publications du CRAHM";"978-2-902685"
"18626";"Professional Engineering Publishing";"Professional Engineering Publishing";"978-0-85298"
"18627";"COMADEM International";"COMADEM International";"978-0-954"
"18628";"Allied Publishers Group";"Allied Publishers Group";"978-81-9001"
"18629";"University of West Bohemia in Pilsen - Publishing Centre";"University of West Bohemia in Pilsen - Publishing Centre";"978-80-7082"
"18630";"Tampere University of Technology";"Tampere University of Technology";"978-952-15"
"18631";"University Press of Mississippi";"University Press of Mississippi";"978-1-57806"
"18632";"University Press of New England";"University Press of New England";"978-0-87451, 978-1-55553, 978-1-58465"
"18633";"McFarland";"McFarland";"978-0-7864"
"18634";"Newberry College";"Newberry College";
"18637";"International Association for Computer Information Systems";"International Association for Computer Information Systems";"978-970-31"
"18638";"Florida International University School of Hospitality Management";"Florida International University School of Hospitality Management";
"18639";"Stevens Publishing Corp.";"Stevens Publishing Corp.";
"18640";"Bemidji State University";"Bemidji State University";
"18647";"Research School of Asian, African, and Amerindian Studies";"Research School of Asian, African, and Amerindian Studies";
"18648";"La Sociedad de Etnomusicología (SIbE)";"La Sociedad de Etnomusicología (SIbE)";"978-84-8497"
"18649";"Georg Editeur";"Georg Editeur";"978-2-8257"
"18650";"Dipartimento di Musica e Spettacolo";"Dipartimento di Musica e Spettacolo";
"18652";"Graduate Students Association";"Graduate Students Association";
"18653";"Department of Ethnomusicology";"Department of Ethnomusicology";
"18654";"Music Theory Society of New York State";"Music Theory Society of New York State";
"18656";"Sibelius Academy";"Sibelius Academy";
"18657";"International Association of Hydraulic Engineering and Research";"International Association of Hydraulic Engineering and Research";"978-960-243"
"18658";"Yokohama Publishers";"Yokohama Publishers";"978-4-946552"
"18659";"American Institute of Mathematical Sciences (AIMS) Press";"American Institute of Mathematical Sciences (AIMS) Press";
"18660";"Mental Health, Law, and Policy Institute";"Mental Health, Law, and Policy Institute";
"18661";"Carnegie Publishing Ltd.";"Carnegie Publishing Ltd.";"978-1-85936"
"18665";"Selja forlag";"Selja forlag";"978-82-91722"
"18666";"Rutgers University Press";"Rutgers University Press";"978-0-8135, 978-1-896357"
"18667";"Boydell & Brewer";"Boydell & Brewer";"978-1-84383, 978-1-84384"
"18680";"Lexington Books";"Lexington Books";"978-0-669, 978-0-7391"
"18690";"Scottish Place-Name Society";"Scottish Place-Name Society";
"18691";"Weaver Press";"Weaver Press";"978-1-77922"
"18692";"International Institute of Refrigeration";"International Institute of Refrigeration";"978-2-913149"
"18693";"Flicks Books";"Flicks Books";"978-0-948911"
"18694";"John Libbey Publishing";"John Libbey Publishing";"978-0-86196"
"18695";"Stroemfeld Verlag";"Stroemfeld Verlag";"978-3-87877"
"18696";"Wallflower Press";"Wallflower Press";"978-1-904764, 978-1-905674, 978-1-906660"
"18697";"WISU Verlag Aachen";"WISU Verlag Aachen";
"18700";"Gulf Professional Publishing";"Gulf Professional Publishing";"978-0-88415"
"18701";"PennWell Books";"PennWell Books";"978-0-87814"
"18702";"Institute of Jamaica";"Institute of Jamaica";
"18703";"James Dickey Society";"James Dickey Society";
"18704";"School of English, University of Leeds";"School of English, University of Leeds";
"18708";"Center for Medieval and Early Renaissance Studies";"Center for Medieval and Early Renaissance Studies";
"18709";"American Studies Association of Turkey";"American Studies Association of Turkey";
"18710";"Academic Electronic Press";"Academic Electronic Press";
"18711";"JCF Press";"JCF Press";
"18712";"Borealis Press Ltd.";"Borealis Press Ltd.";
"18713";"Department of Literature and Philosophy, Georgia Southern University";"Department of Literature and Philosophy, Georgia Southern University";
"18714";"American University in Cairo";"American University in Cairo";
"18715";"Gale Group";"Gale Group";
"18716";"Gulbarga";"Gulbarga";
"18718";"Proscenium Press";"Proscenium Press";
"18720";"Northern Kentucky University";"Northern Kentucky University";
"18722";"Association for the Study of Australian Literature";"Association for the Study of Australian Literature";
"18723";"Australasian Universities Language";"Australasian Universities Language";
"18724";"House of William Blake";"House of William Blake";
"18725";"King Saud University";"King Saud University";
"18726";"The Costume Society";"The Costume Society";
"18727";"Pace University Press";"Pace University Press";"978-0-944473"
"18728";"English Place-Name Society";"English Place-Name Society";
"18729";"Universidad de las Palmas de Gran Canaria";"Universidad de las Palmas de Gran Canaria";
"18730";"State Library of Victoria Foundation";"State Library of Victoria Foundation";
"18732";"Société conradienne française";"Société conradienne française";
"18733";"Cumberland Academic Press";"Cumberland Academic Press";
"18734";"Aratake Shuppan";"Aratake Shuppan";"978-4-87043"
"18735";"Czech Language Institute ASCR";"Czech Language Institute ASCR";
"18736";"Popular Prakashan";"Popular Prakashan";
"18737";"Mysore";"Mysore";
"18738";"Association of Literary Scholars and Critics";"Association of Literary Scholars and Critics";
"18739";"Roland Hall";"Roland Hall";
"18740";"London Conference for Canadian Studies";"London Conference for Canadian Studies";
"18741";"St. Ives";"St. Ives";
"18742";"Ian Herbert";"Ian Herbert";
"18744";"Canadian Society for Eighteenth-Century Studies";"Canadian Society for Eighteenth-Century Studies";
"18745";"Common Margins Ltd.";"Common Margins Ltd.";
"18746";"Wagner College";"Wagner College";
"18747";"McNeese University";"McNeese University";
"18748";"State University of New York at Binghamton";"State University of New York at Binghamton";
"18749";"Southeastern Medieval Association";"Southeastern Medieval Association";
"18751";"Financial Management Association International";"Financial Management Association International";
"18752";"Global Academic Publishing";"Global Academic Publishing";"978-1-58684"
"18753";"Department of English, Bowling Green State University";"Department of English, Bowling Green State University";
"18754";"EA Kopper";"EA Kopper";
"18755";"Université d'Avignon";"Université d'Avignon";
"18756";"Nassau Community College";"Nassau Community College";
"18757";"Bowdoin College";"Bowdoin College";
"18758";"National Library of Australia";"National Library of Australia";
"18759";"IC Publications";"IC Publications";
"18760";"New Beacon Books";"New Beacon Books";
"18761";"Foundation for Cultural Review";"Foundation for Cultural Review";
"18763";"Colonialism and its Aftermath, University of Tasmania";"Colonialism and its Aftermath, University of Tasmania";
"18764";"New Welsh Review";"New Welsh Review";
"18765";"New York literary forum";"New York literary forum";
"18766";"Peppercorn Press";"Peppercorn Press";
"18767";"National Broadcasting Service";"National Broadcasting Service";
"18768";"Newfoundland Studies";"Newfoundland Studies";
"18769";"Victorian Studies Association of Western Canada";"Victorian Studies Association of Western Canada";
"18770";"English Department, St. John's University";"English Department, St. John's University";
"18771";"Centre for Irish Studies";"Centre for Irish Studies";
"18772";"Norfolk & Norwich Archaeological Society";"Norfolk & Norwich Archaeological Society";
"18773";"North Eastern Linguistic Society";"North Eastern Linguistic Society";
"18774";"English Department";"English Department";
"18776";"Department of English, North Carolina State University";"Department of English, North Carolina State University";
"18777";"New University of Ulster";"New University of Ulster";
"18778";"Bibliographical Society";"Bibliographical Society";
"18780";"Canadian Institute Society for the Study of Names";"Canadian Institute Society for the Study of Names";
"18781";"F. Davey";"F. Davey";
"18782";"Department of English, University of Leicester";"Department of English, University of Leicester";
"18783";"Oxford Bibliographical Society";"Oxford Bibliographical Society";
"18784";"Pacific Ancient and Modern Language Association";"Pacific Ancient and Modern Language Association";
"18785";"Brigham Young University";"Brigham Young University";
"18786";"Panjab University";"Panjab University";
"18787";"Magpies Magazine";"Magpies Magazine";
"18788";"Australian and New Zealand Association for Medieval and Renaissance Studies";"Australian and New Zealand Association for Medieval and Renaissance Studies";
"18789";"S. Lewis";"S. Lewis";
"18790";"University College of Wales";"University College of Wales";
"18791";"University of Louisville";"University of Louisville";
"18792";"Jane Austen Society of North America";"Jane Austen Society of North America";
"18793";"Ceskoslovenské akademie Véd.";"Ceskoslovenské akademie Véd.";
"18794";"University of Tampa";"University of Tampa";
"18795";"Kearney State College";"Kearney State College";
"18796";"Five Islands Press Associates";"Five Islands Press Associates";
"18797";"Poetry Canada";"Poetry Canada";
"18798";"Powys Society";"Powys Society";
"18799";"International Pragmatics Association (IPrA)";"International Pragmatics Association (IPrA)";
"18800";"Prairie Fire Press Inc.";"Prairie Fire Press Inc.";
"18801";"Prairie Journal Trust";"Prairie Journal Trust";
"18802";"Présence Africaine";"Présence Africaine";"978-2-7087"
"18803";"Princeton University Library";"Princeton University Library";
"18804";"American Printing History Association";"American Printing History Association";
"18805";"Berkeley Linguistics Society";"Berkeley Linguistics Society";
