"Print ISSN";"Online ISSN";"Tidsskrift id";"Original tittel";"Internasjonal tittel"
"0304-3797";"1469-5898";"340621";"European Journal of Engineering Education";"European Journal of Engineering Education"
"0256-5234";;"340623";"Wiener Slawistischer Almanach, Sonderband";"Wiener Slawistischer Almanach, Sonderband"
"0106-0503";"1901-1903";"340624";"DF-revy";"DF-revy"
"0029-1277";"1996-9694";"340626";"Nordic Hydrology";"Nordic Hydrology"
"0332-7205";;"340628";"Fortidsvern";"Fortidsvern"
"0002-7189";"1477-4585";"340629";"Journal of the American Academy of Religion";"Journal of the American Academy of Religion"
"0161-8938";"1873-8060";"340631";"Journal of Policy Modeling";"Journal of Policy Modeling"
"0743-5800";"1532-4206";"340633";"Endocrine Research";"Endocrine Research"
"0966-8136";"1465-3427";"340634";"Europe-Asia Studies";"Europe-Asia Studies"
"0009-2797";"1872-7786";"340635";"Chemico-Biological Interactions";"Chemico-Biological Interactions"
"0378-5122";"1873-4111";"340636";"Maturitas";"Maturitas"
"0300-9572";"1873-1570";"340637";"Resuscitation";"Resuscitation"
"0098-7921";"1728-4457";"340638";"Population and Development Review";"Population and Development Review"
"0022-3166";"1541-6100";"340639";"Journal of Nutrition";"Journal of Nutrition"
"1352-4585";"1477-0970";"340640";"Multiple Sclerosis";"Multiple Sclerosis"
"0022-3077";"1522-1598";"340641";"Journal of Neurophysiology";"Journal of Neurophysiology"
"0378-4274";"1879-3169";"340642";"Toxicology Letters";"Toxicology Letters"
"0959-3780";"1872-9495";"340643";"Global Environmental Change";"Global Environmental Change"
"0309-457X";;"340647";"Maghreb Review";"Maghreb Review"
"0271-678X";"1559-7016";"340648";"Journal of Cerebral Blood Flow and Metabolism";"Journal of Cerebral Blood Flow and Metabolism"
"0301-0171";"1421-9816";"340649";"Cytogenetics and Cell Genetics";"Cytogenetics and Cell Genetics"
"0964-4563";"1468-3318";"340651";"Tobacco Control";"Tobacco Control"
"0039-3193";"1467-9582";"340656";"Studia Linguistica";"Studia Linguistica"
"0032-4000";"2230-5955";"340657";"The Journal of the Polynesian Society";"The Journal of the Polynesian Society"
"0333-2152";;"340659";"Årbok for Nordmøre";"Årbok for Nordmøre"
"1501-6722";;"340662";"Kvinnforsks skriftserie";"Kvinnforsk occasional papers"
"0264-6838";"1469-672X";"340665";"Journal of Reproductive and Infant Psychology";"Journal of Reproductive and Infant Psychology"
"0108-271X";;"340666";"Nordisk Sexologi";"Nordisk Sexologi"
"0960-894X";"1464-3405";"340668";"Bioorganic & Medicinal Chemistry Letters";"Bioorganic & Medicinal Chemistry Letters"
"0007-1048";"1365-2141";"340669";"British Journal of Haematology";"British Journal of Haematology"
"0047-2727";"1879-2316";"340670";"Journal of Public Economics";"Journal of Public Economics"
"0022-460X";;"340671";"Journal of Sound and Vibration";"Journal of Sound and Vibration"
"1042-0533";"1520-6300";"340672";"American Journal of Human Biology";"American Journal of Human Biology"
"0035-2136";;"340673";"La Revue des Lettres Modernes";"La Revue des Lettres Modernes"
"0958-5192";"1466-4399";"340676";"International Journal of Human Resource Management";"International Journal of Human Resource Management"
"0735-0414";"1464-3502";"340678";"Alcohol and Alcoholism";"Alcohol and Alcoholism"
"0800-6563";;"340679";"Kvinnejournalen";"Kvinnejournalen"
"0016-6758";;"340680";"Journal Genetika";"Journal Genetika"
"1239-9736";"2242-3982";"340682";"International Journal of Circumpolar Health";"International Journal of Circumpolar Health"
"1401-7431";"1651-2006";"340683";"Scandinavian Cardiovascular Journal";"Scandinavian Cardiovascular Journal"
"0108-1993";"1904-8181";"340685";"Religionsvidenskapeligt Tidsskrift";"Religionsvidenskapeligt Tidsskrift"
"0196-9781";"1873-5169";"340688";"Peptides";"Peptides"
"0803-8880";;"340689";"Informasjonsorgan for Norsk Narkotikapolitiforening";"Informasjonsorgan for Norsk Narkotikapolitiforening"
"0809-8131";"1944-8260";"340690";"Nordic journal of music therapy";"Nordic Journal of Music Therapy"
"1357-633X";"1758-1109";"340692";"Journal of Telemedicine and Telecare";"Journal of Telemedicine and Telecare"
"0143-4160";"1532-1991";"340693";"Cell Calcium";"Cell Calcium"
"0048-7333";"1873-7625";"340694";"Research Policy";"Research Policy"
"0036-9292";"1467-9485";"340696";"Scottish Journal of Political Economy";"Scottish Journal of Political Economy"
"0032-2024";;"340697";"Poétique";"Poétique"
"0018-0661";"1601-5223";"340721";"Hereditas";"Hereditas"
"1100-097X";;"340698";"Working Papers in Scandinavian Syntax";"Working Papers in Scandinavian Syntax"
"0033-0124";"1467-9272";"340699";"Professional Geographer";"Professional Geographer"
"0742-2822";"1540-8175";"340702";"Echocardiography";"Echocardiography"
"0801-6194";;"340704";"Kontur : tidsskrift for lærarutdanning";"Kontur : tidsskrift for lærarutdanning"
"0003-598X";"1745-1744";"340705";"Antiquity";"Antiquity"
"0022-2194";"1538-4780";"340707";"Journal of Learning Disabilities";"Journal of Learning Disabilities"
"0905-6947";"1600-0668";"340708";"Indoor Air: International Journal of Indoor Environment and Health";"Indoor Air: International Journal of Indoor Environment and Health"
"0161-4754";"1532-6586";"340709";"Journal of Manipulative and Physiological Therapeutics";"Journal of Manipulative and Physiological Therapeutics"
"0741-5400";"1938-3673";"340710";"Journal of Leukocyte Biology";"Journal of Leukocyte Biology"
"0008-6363";"1755-3245";"340711";"Cardiovascular Research (CVR)";"Cardiovascular Research (CVR)"
"1045-2257";"1098-2264";"340712";"Genes, Chromosomes and Cancer";"Genes, Chromosomes and Cancer"
"0952-3278";"1532-2823";"340713";"Prostaglandins, Leukotrienes and Essential Fatty Acids";"Prostaglandins, Leukotrienes and Essential Fatty Acids"
"0022-4499";"1559-8519";"340714";"Journal of Sex Research";"Journal of Sex Research"
"0022-5061";"1520-6696";"340717";"Journal of the History of the Behavioral Sciences";"Journal of the History of the Behavioral Sciences"
"0924-1884";"1569-9986";"340718";"Target";"Target"
"1747-0218";"1747-0226";"340720";"Quarterly Journal of Experimental Psychology (QJEP)";"Quarterly Journal of Experimental Psychology (QJEP)"
"0301-0082";"1873-5118";"340722";"Progress in Neurobiology";"Progress in Neurobiology"
"0012-1606";"1095-564X";"340723";"Developmental Biology";"Developmental Biology"
"1059-1524";"1939-4586";"340724";"Molecular Biology of the Cell";"Molecular Biology of the Cell"
"0021-9525";"1540-8140";"340726";"Journal of Cell Biology";"Journal of Cell Biology"
"0271-5317";"1879-0739";"340728";"Nutrition Research";"Nutrition Research"
"0364-765X";"1526-5471";"340729";"Mathematics of Operations Research";"Mathematics of Operations Research"
"0013-0095";"1944-8287";"340730";"Economic Geography";"Economic Geography"
"0802-183X";;"340738";"Bedre Skole";"Bedre Skole"
"0214-6282";"1696-3547";"340739";"International Journal of Developmental Biology";"International Journal of Developmental Biology"
"0304-8675";;"340740";"Asian Profile";"Asian Profile"
"0800-6768";;"340742";"Notodden Historielag Årsskrift";"Notodden Historielag Årsskrift"
"0949-944X";"1432-041X";"340743";"Development, Genes and Evolution";"Development, Genes and Evolution"
"0803-9348";;"340744";"Nettverk-Nytt. Informasjonsavis fra Alternativt nettverk";"Nettverk-Nytt. Informasjonsavis fra Alternativt nettverk"
"0885-3185";"1531-8257";"340746";"Movement Disorders";"Movement Disorders"
"0148-5717";"1537-4521";"340748";"Sexually Transmitted Diseases";"Sexually Transmitted Diseases"
"0309-0167";"1365-2559";"340749";"Histopathology";"Histopathology"
"0800-3831";"1503-111X";"340751";"Acta Borealia";"Acta Borealia"
"0725-5136";"1461-7455";"340752";"Thesis Eleven";"Thesis Eleven"
"0042-6822";"1096-0341";"340754";"Virology";"Virology"
"0272-4944";"1522-9610";"340755";"Journal of Environmental Psychology";"Journal of Environmental Psychology"
"0924-6479";"1878-6847";"340756";"International Journal of Risk and Safety in Medicine";"International Journal of Risk and Safety in Medicine"
"0809-5213";;"340757";"Årringen";"Årringen"
"0889-8553";"1558-1942";"340758";"Gastroenterology Clinics of North America";"Gastroenterology Clinics of North America"
"0177-798X";"1434-4483";"340761";"Theoretical and Applied Climatology";"Theoretical and Applied Climatology"
"0003-9136";;"340763";"Archiv für Hydrobiologie";"Archiv für Hydrobiologie"
"0969-7764";"1461-7145";"340766";"European Urban and Regional Studies";"European Urban and Regional Studies"
"0090-8320";"1521-0642";"340767";"Ocean Development and International Law";"Ocean Development and International Law"
"1073-449X";"1535-4970";"340769";"American Journal of Respiratory and Critical Care Medicine";"American Journal of Respiratory and Critical Care Medicine"
"0300-0664";"1365-2265";"340770";"Clinical Endocrinology";"Clinical Endocrinology"
"0021-8782";"1469-7580";"340772";"Journal of Anatomy";"Journal of Anatomy"
"0808-2901";;"340773";"St. Sunniva: Forum for Norsk Kvinnelig Teologforening";"St. Sunniva: Forum for Norsk Kvinnelig Teologforening"
"0924-6460";"1573-1502";"340775";"Environmental and Resource Economics";"Environmental and Resource Economics"
"0803-4826";;"340776";"Oss foreldre imellom";"Oss foreldre imellom"
"0016-7185";"1872-9398";"340779";"Geoforum";"Geoforum"
"0305-7518";"2162-8807";"340781";"Leprosy Review";"Leprosy Review"
"0301-620X";"2044-5377";"340782";"Journal of Bone and Joint Surgery (JBJS)";"Journal of Bone and Joint Surgery (JBJS)"
"0925-4560";"1572-8587";"340784";"Journal for General Philosophy of Science (JGPS)";"Journal for General Philosophy of Science (JGPS)"
"0153-3320";"1960-6028";"340786";"Cahiers de Linguistique Asie Orientale";"Cahiers de Linguistique Asie Orientale"
"0950-5431";"1470-1189";"340787";"Science as Culture";"Science as Culture"
"0022-1430";"1727-5652";"340789";"Journal of Glaciology";"Journal of Glaciology"
"0721-832X";"1435-702X";"340790";"Graefe's Archives for Clinical and Experimental Ophthalmology";"Graefe's Archives for Clinical and Experimental Ophthalmology"
"0301-102X";"2052-8051";"340792";"Bulletin of the John Rylands University Library of Manchester";"Bulletin of the John Rylands University Library of Manchester"
"0743-8346";"1476-5543";"340793";"Journal of Perinatology";"Journal of Perinatology"
"0037-5330";"2242-4075";"340794";"Silva Fennica";"Silva Fennica"
"0085-5944";"2002-9179";"340796";"Scandinavian Studies in Law";"Scandinavian Studies in Law"
"1210-7778";"1803-1048";"340798";"Central European Journal of Public Health";"Central European Journal of Public Health"
"0146-7239";"1573-6644";"340802";"Motivation and Emotion";"Motivation and Emotion"
"0096-3941";"2324-9250";"340804";"EOS";"EOS"
"1093-9946";"1093-4715";"340805";"Frontiers in Bioscience";"Frontiers in Bioscience"
"0022-3085";"1933-0693";"340806";"Journal of Neurosurgery";"Journal of Neurosurgery"
"1401-3320";;"340807";"Pedagogiska Magasinet";"Pedagogiska Magasinet"
"0001-6810";"1741-1416";"342062";"Acta Politica";"Acta Politica"
"0029-1463";;"342063";"Nordisk Psykologi: teori, forskning, praksis";"Nordisk Psykologi: teori, forskning, praksis"
"0165-0254";"1464-0651";"342064";"International Journal of Behavioral Development";"International Journal of Behavioral Development"
"0951-7367";"1473-6578";"342065";"Current Opinion in Psychiatry";"Current Opinion in Psychiatry"
"0361-7882";"2326-3016";"342066";"International Journal of African Historical Studies";"International Journal of African Historical Studies"
"0399-1784";"1878-4143";"342067";"Oceanologica Acta";"Oceanologica Acta"
"1057-7149";"1941-0042";"342069";"IEEE Transactions on Image Processing";"IEEE Transactions on Image Processing"
"0933-4807";"2195-4720";"342074";"Pteridines";"Pteridines"
"1053-8100";"1090-2376";"342075";"Consciousness and Cognition";"Consciousness and Cognition"
"0809-2052";"2464-3076";"342076";"Tidsskrift for velferdsforskning";"Norwegian Journal of Welfare Research"
"0587-3452";;"342081";"ARCH+ : Archplus";"ARCH+ : Archplus"
"0031-8116";"1573-0883";"342082";"Philosophical Studies";"Philosophical Studies"
"0090-4341";"1432-0703";"342083";"Archives of Environmental Contamination and Toxicology";"Archives of Environmental Contamination and Toxicology"
"0737-7037";"1543-0413";"342085";"Journal of Folklore Research";"Journal of Folklore Research"
"1074-6218";"2168-1961";"342086";"Journal of Endovascular Surgery";"Journal of Endovascular Surgery"
"0098-1532";"1096-911X";"342087";"Medical and Pediatric Oncology";"Medical and Pediatric Oncology"
"0368-492X";"1758-7883";"342088";"Kybernetes";"Kybernetes"
"0029-1366";;"342089";"Nordisk Forum : Tidsskrift for kritisk forskning";"Nordisk Forum : Tidsskrift for kritisk forskning"
"0020-7292";"1879-3479";"342090";"International Journal of Gynecology & Obstetrics";"International Journal of Gynecology & Obstetrics"
"1062-7987";"1474-0575";"342092";"European Review";"European Review"
"0091-6749";"1097-6825";"342093";"Journal of Allergy and Clinical Immunology";"Journal of Allergy and Clinical Immunology"
"0333-0273";"0805-8210";"342096";"Forskningspolitikk";"Forskningspolitikk"
"0162-8828";"1939-3539";"342100";"IEEE Transactions on Pattern Analysis and Machine Intelligence";"IEEE Transactions on Pattern Analysis and Machine Intelligence"
"0959-6658";"1460-2423";"342103";"Glycobiology";"Glycobiology"
"0344-4325";"1432-2196";"342104";"Springer Seminars in Immunopathology";"Springer Seminars in Immunopathology"
"0305-4179";"1879-1409";"342106";"Burns";"Burns"
"0951-6328";"1471-6925";"342107";"Journal of Refugee Studies";"Journal of Refugee Studies"
"0963-7486";"1465-3478";"342109";"International Journal of Food Sciences and Nutrition";"International Journal of Food Sciences and Nutrition"
"0895-8696";"1559-1166";"342110";"Journal of Molecular Neuroscience";"Journal of Molecular Neuroscience"
"0075-9511";"1873-5851";"342112";"Limnologica";"Limnologica"
"0001-5180";"1421-9654";"342113";"Acta Anatomica";"Acta Anatomica"
"0261-1430";"1474-0095";"342114";"Popular Music";"Popular Music"
"0016-6480";"1095-6840";"342115";"General and Comparative Endocrinology";"General and Comparative Endocrinology"
"0085-2619";;"342116";"Kyrkohistorisk årsskrift";"Kyrkohistorisk årsskrift"
"0163-4356";"1536-3694";"342118";"Therapeutic Drug Monitoring";"Therapeutic Drug Monitoring"
"0163-9641";"1097-0355";"342121";"Infant Mental Health Journal";"Infant Mental Health Journal"
"0105-0397";"1940-2872";"342122";"Scandinavian Audiology";"Scandinavian Audiology"
"0105-8118";;"342123";"Hikuin";"Hikuin"
"0803-2106";;"342124";"Institutt for offentlig retts skriftserie";"Institutt for offentlig retts skriftserie"
"0268-3369";"1476-5365";"342130";"Bone Marrow Transplantation";"Bone Marrow Transplantation"
"0899-5605";"1532-7876";"342131";"Military Psychology";"Military Psychology"
"0048-2277";;"342132";"Volund";"Volund"
"0802-2763";;"342133";"Yrkeshygienikeren";"Yrkeshygienikeren"
"0309-1325";"1477-0288";"342134";"Progress in Human Geography";"Progress in Human Geography"
"0278-2626";"1090-2147";"342135";"Brain and Cognition";"Brain and Cognition"
"0802-3204";;"342136";"HIFO-nytt";"HIFO-nytt"
"0003-4967";"1468-2060";"342137";"Annals of the Rheumatic Diseases";"Annals of the Rheumatic Diseases"
"0003-6846";"1466-4283";"342139";"Applied Economics";"Applied Economics"
"0800-1014";"1891-1838";"342140";"Tidsskriftet Norges Barnevern";"Tidsskriftet Norges Barnevern"
"0076-6879";"1557-7988";"342142";"Methods in Enzymology";"Methods in Enzymology"
"0802-8192";;"342143";"Tangenten - Tidsskrift for matematikkundervisning";"Tangenten - Tidsskrift for matematikkundervisning"
"0004-0002";"1573-2800";"342145";"Archives of Sexual Behavior";"Archives of Sexual Behavior"
"0003-0554";"1537-5943";"342146";"American Political Science Review";"American Political Science Review"
"0343-8651";"1432-0991";"342148";"Current Microbiology";"Current Microbiology"
"0935-6304";"1521-4168";"342149";"Journal of High Resolution Chromatography (HRC)";"Journal of High Resolution Chromatography (HRC)"
"1500-2322";"1503-2116";"342150";"Pacem : militært tidsskrift for etisk og teologisk refleksjon";"Pacem : militært tidsskrift for etisk og teologisk refleksjon"
"0144-8420";"1742-3406";"342151";"Radiation Protection Dosimetry";"Radiation Protection Dosimetry"
"0804-1717";;"342154";"Legekunsten";"Legekunsten"
"0039-0720";;"342155";"Statsøkonomisk tidsskrift";"Statsøkonomisk tidsskrift"
"1103-3088";"1741-3222";"342157";"Young - Nordic Journal of Youth Research";"Young - Nordic Journal of Youth Research"
"0887-3585";"1097-0134";"342158";"Proteins: Structure, Function, and Bioinformatics";"Proteins: Structure, Function, and Bioinformatics"
"0039-338X";"1502-7791";"342161";"Studia Theologica - Nordic Journal of Theology";"Studia Theologica - Nordic Journal of Theology"
"0040-7089";;"342163";"Tidsskrift for jordmødre";"Tidsskrift for jordmødre"
"1062-3329";"1029-2373";"342164";"Endothelium";"Endothelium"
"0029-1846";;"342165";"The Norseman";"The Norseman"
"1354-523X";"1601-0825";"342166";"Oral Diseases";"Oral Diseases"
"1432-847X";"1867-383X";"342167";"Environmental Economics and Policy Studies";"Environmental Economics and Policy Studies"
"0167-6318";"1613-3676";"342168";"The Linguistic Review";"The Linguistic Review"
"0931-184X";"1439-0442";"342173";"Journal of Veterinary Medicine A";"Journal of Veterinary Medicine A"
"0891-0618";"1873-6300";"342174";"Journal of Chemical Neuroanatomy";"Journal of Chemical Neuroanatomy"
"0802-3182";;"342176";"Mosaikk";"Mosaikk"
"0003-3472";"1095-8282";"342177";"Animal Behaviour";"Animal Behaviour"
"0362-9805";"1939-9162";"342180";"Legislative Studies Quarterly";"Legislative Studies Quarterly"
"1055-050X";"2160-0058";"342183";"Journal of Psychotherapy Practice and Research (JPPR)";"Journal of Psychotherapy Practice and Research (JPPR)"
"0888-8809";"1944-9917";"342184";"Molecular Endocrinology";"Molecular Endocrinology"
"1070-5503";"1532-7558";"342185";"International Journal of Behavioral Medicine";"International Journal of Behavioral Medicine"
"0168-6577";"1572-9885";"342186";"European Journal of Population";"European Journal of Population"
"1465-5187";"1753-5530";"342189";"Public Archaeology";"Public Archaeology"
"0948-4280";"1437-8213";"342190";"Journal of Marine Science and Technology";"Journal of Marine Science and Technology"
"0001-9720";"1750-0184";"342192";"Africa";"Africa - Journal of the International African Institute"
"0016-7363";"1538-4632";"342196";"Geographical Analysis";"Geographical Analysis"
"0020-7187";"1878-4658";"342197";"International Journal of Early Childhood";"International Journal of Early Childhood"
"0236-5383";"1588-256X";"342199";"Acta Biologica Hungarica";"Acta Biologica Hungarica"
"0315-4149";;"342200";"International Fiction Review";"International Fiction Review"
"0969-8051";"1872-9614";"342201";"Nuclear Medicine and Biology";"Nuclear Medicine and Biology"
"0085-7130";"1891-8220";"342202";"Telektronikk";"Telektronikk"
"0040-3709";"1096-9926";"342203";"Teratology";"Teratology"
"0958-9287";"1461-7269";"342204";"Journal of European Social Policy";"Journal of European Social Policy"
"0284-4311";"1651-2073";"342205";"Scandinavian Journal of Plastic and Reconstructive Surgery and Hand Surgery";"Scandinavian Journal of Plastic and Reconstructive Surgery and Hand Surgery"
"0803-3986";;"342208";"Linjer";"Linjer"
"0742-2091";"1573-6822";"342209";"Cell Biology and Toxicology";"Cell Biology and Toxicology"
"0097-8485";"1879-0763";"342210";"Computers and Chemistry";"Computers and Chemistry"
"0929-0273";"1571-8093";"342211";"European Journal of Health Law";"European Journal of Health Law"
"0346-217X";;"342212";"Svensk Missionstidsskrift";"Swedish Missiological Themes"
"0936-577X";"1616-1572";"342216";"Climate Research (CR)";"Climate Research (CR)"
"0264-410X";"1873-2518";"342217";"Vaccine";"Vaccine"
"0307-0565";"1476-5497";"342218";"International Journal of Obesity";"International Journal of Obesity"
"1016-9040";"1878-531X";"342219";"European Psychologist";"European Psychologist"
"1369-1066";"1464-5343";"342220";"Venture Capital : an International Journal of Entrepreneurial Finance";"Venture Capital : an International Journal of Entrepreneurial Finance"
"0022-4227";"1467-9809";"342223";"Journal of Religious History";"Journal of Religious History"
"0391-4097";"1720-8386";"342225";"Journal of Endocrinological Investigation";"Journal of Endocrinological Investigation"
"0168-9525";"1362-4555";"342226";"Trends in Genetics";"Trends in Genetics"
"0950-3579";"1878-2043";"342228";"Baillière's Clinical Rheumatology";"Baillière's Clinical Rheumatology"
"0801-0269";;"342229";"Nytt fra Statens legemiddelkontroll";"Nytt fra Statens legemiddelkontroll"
"0161-5890";"1872-9142";"342230";"Molecular Immunology";"Molecular Immunology"
"0006-3568";"1525-3244";"342231";"BioScience";"BioScience"
"0803-0103";"0809-750X";"342235";"Stat og styring";"Stat og styring"
"0804-8452";"0805-9535";"342236";"Norsk Medietidsskrift";"Norsk Medietidsskrift"
"0902-4441";"1600-0609";"342237";"European Journal of Haematology";"European Journal of Haematology"
"0802-6106";"1473-4192";"342238";"International Journal of Applied Linguistics";"International Journal of Applied Linguistics"
"0029-2141";;"342240";"Norsk Slektshistorisk Tidsskrift";"Norsk Slektshistorisk Tidsskrift"
"0805-2557";;"342242";"UPED-skrift";"UPED-skrift"
"0897-7194";"1029-2292";"342243";"Growth Factors";"Growth Factors"
"1031-3613";"1448-5990";"342244";"Reproduction, Fertility and Development";"Reproduction, Fertility and Development"
"0835-7900";"1916-7237";"342248";"Canadian Journal of Gastroenterology";"Canadian Journal of Gastroenterology"
"0250-6807";"1421-9697";"342249";"Annals of Nutrition and Metabolism";"Annals of Nutrition and Metabolism"
"0769-489X";;"342250";"Annales d'Èconomie et de Statistique";"Annales d'Èconomie et de Statistique"
"0044-7447";"1654-7209";"342253";"Ambio";"Ambio"
"0332-8554";"1894-7859";"342303";"Gunneria";"Gunneria"
"0260-1079";"2321-5305";"342254";"Journal of Interdisciplinary Economics";"Journal of Interdisciplinary Economics"
"1352-2310";"1873-2844";"342255";"Atmospheric Environment";"Atmospheric Environment"
"0028-3878";"1526-632X";"342256";"Neurology";"Neurology"
"0887-6185";"1873-7897";"342261";"Journal of Anxiety Disorders";"Journal of Anxiety Disorders"
"0167-8507";"1613-3684";"342262";"Multilingua - Journal of Cross-cultural and Interlanguage Communiciation";"Multilingua - Journal of Cross-cultural and Interlanguage Communiciation"
"0014-1828";"2160-3510";"342264";"Ethnology: An International Journal of Cultural and Social Anthropology";"Ethnology: An International Journal of Cultural and Social Anthropology"
"0205-9614";;"342265";"Earth Research from Space";"Earth Research from Space"
"0929-7855";"1879-159X";"342266";"Journal of Lipid Mediators and Cell Signalling";"Journal of Lipid Mediators and Cell Signalling"
"0922-4106";"1872-8251";"342271";"European Journal of Pharmacology - Molecular Pharmacology Section";"European Journal of Pharmacology - Molecular Pharmacology Section"
"1100-2298";"2001-9424";"342272";"Svensk Exegetisk Årsbok";"Svensk Exegetisk Årsbok"
"0803-2556";;"342274";"Helsetjenesten/Medisinsk teknikk";"Helsetjenesten/Medisinsk teknikk"
"0934-9723";"1435-4373";"342275";"European Journal of Clinical Microbiology and Infectious Diseases";"European Journal of Clinical Microbiology and Infectious Diseases"
"1010-7940";"1873-734X";"342276";"European Journal of Cardio-Thoracic Surgery";"European Journal of Cardio-Thoracic Surgery"
"0953-8178";"1460-2377";"342277";"International Immunology";"International Immunology"
"1465-7392";"1476-4679";"342278";"Nature Cell Biology";"Nature Cell Biology"
"0333-144X";;"342336";"Stoffmisbruk";"Stoffmisbruk"
"0023-1983";;"343618";"Kjemi";"Kjemi"
"0736-5829";"1543-2777";"343619";"Adapted Physical Activity Quarterly";"Adapted Physical Activity Quarterly"
"0146-0005";"1558-075X";"343620";"Seminars in Perinatology";"Seminars in Perinatology"
"0197-2243";"1087-6537";"343621";"The Information Society";"The Information Society"
"0166-4328";"1872-7549";"343622";"Behavioural Brain Research";"Behavioural Brain Research"
"0026-4148";"1943-1147";"343623";"Military Review";"Military Review"
"0969-8043";"1872-9800";"343626";"Applied Radiation and Isotopes";"Applied Radiation and Isotopes"
"0360-0572";"1545-2115";"343627";"Annual Review of Sociology";"Annual Review of Sociology"
"0092-8674";"1097-4172";"343628";"Cell";"Cell"
"0022-2402";"1543-9542";"343629";"Journal of Marine Research";"Journal of Marine Research"
"0809-3016";"1503-9617";"343631";"Diabetes for helsepersonell";"Diabetes for helsepersonell"
"0332-8546";;"343634";"Rapport Arkeologisk serie";"Rapport Arkeologisk serie"
"0165-1889";"1879-1743";"343635";"Journal of Economic Dynamics and Control";"Journal of Economic Dynamics and Control"
"0278-4165";"1090-2686";"343636";"Journal of Anthropological Archaeology";"Journal of Anthropological Archaeology"
"0031-3203";"1873-5142";"343637";"Pattern Recognition";"Pattern Recognition"
"0003-4088";"2100-000X";"343638";"Annales de Limnologie";"Annales de Limnologie"
"0802-1716";"1500-3728";"343640";"Utsyn";"Utsyn"
"0166-0462";"1879-2308";"343641";"Regional Science and Urban Economics";"Regional Science and Urban Economics"
"0800-5567";;"343643";"PEDIMUS";"PEDIMUS"
"1025-448X";"2075-6674";"343644";"European Respiratory Monograph";"European Respiratory Monograph"
"0340-8744";"1573-6911";"343645";"Empirica";"Empirica"
"0021-9924";"1873-7994";"343646";"Journal of Communication Disorders";"Journal of Communication Disorders"
"0021-9967";"1096-9861";"343649";"Journal of Comparative Neurology";"Journal of Comparative Neurology"
"0012-155X";"1467-7660";"343651";"Development and Change";"Development and Change"
"0332-6942";;"343652";"Døves Tidsskrift";"Døves Tidsskrift"
"0741-7136";"1552-3047";"343654";"Adult Education Quarterly";"Adult Education Quarterly"
"0046-0842";;"343656";"Dutch Quarterly Review of Anglo-American Letters";"Dutch Quarterly Review of Anglo-American Letters"
"0204-4021";;"343660";"Palaeobulgarica";"Palaeobulgarica"
"0031-9376";"1522-1202";"343662";"The Physiologist";"The Physiologist"
"0304-3487";"1572-8714";"343663";"Russian Linguistics : International Journal for the Study of the Russian Language";"Russian Linguistics : International Journal for the Study of the Russian Language"
"1042-8194";"1029-2403";"343664";"Leukemia and Lymphoma";"Leukemia and Lymphoma"
"0801-0978";;"343665";"Populærvitenskapelig Magasin";"Populærvitenskapelig Magasin"
"1501-7419";"1745-3011";"343667";"Scandinavian Journal of Disability Research";"Scandinavian Journal of Disability Research"
"0805-7095";;"343668";"Corpus, Psyche et Societas";"Corpus, Psyche et Societas"
"0333-2810";"1504-310X";"343669";"Skatterett";"Skatterett"
"0174-3597";;"343673";"Helgoländer Meeresuntersuchungen";"Helgoländer Meeresuntersuchungen"
"0959-6836";"1477-0911";"343675";"The Holocene";"The Holocene"
